
Symbol table '.dynsym' contains 27657 entries:
   Num:    Value  Size Type    Bind   Vis      Ndx Name
   245: 005bcad9     6 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   246: 005bcaed     6 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   247: 005bcd6f    30 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   248: 005bcae7     6 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   249: 005bcd8d    30 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   250: 005bcea9    32 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   251: 005bcaa3     6 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   252: 005bcbed    20 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   253: 005bd7d9    34 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   254: 005be409   116 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   255: 005bcd09    72 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   256: 005be4a1    90 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   257: 005bd789    80 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   258: 005be369    82 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   259: 005bcbeb     2 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   260: 005be0f1   182 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   261: 005be1e7    42 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   262: 005bcc01     6 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   263: 005be3bb    42 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   264: 005bcc07     6 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   265: 005bcc11    48 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   266: 005bd129   748 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   267: 005bd9c5   632 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   268: 005bd415   112 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   269: 005bd041   116 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   270: 005bd0b5   116 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   271: 005bd485    60 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   272: 005bcc41    10 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   273: 005bcc4b    10 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   274: 005bcc55    10 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   275: 005bcc5f    10 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   276: 005bcc0d     2 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   277: 005bcc0f     2 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   278: 002bee59   168 FUNC    GLOBAL DEFAULT   12 _Z18achievementC[...]
   279: 005bfddd   104 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d12CCD[...]
   280: 005c1b59    40 FUNC    GLOBAL DEFAULT   12 _ZNK7cocos2d8CCS[...]
   281: 002bef01    92 FUNC    GLOBAL DEFAULT   12 _ZN18Achievement[...]
   282: 00a3ae08   448 OBJECT  GLOBAL DEFAULT   19 _ZTV18Achievemen[...]
   283: 002bef01    92 FUNC    GLOBAL DEFAULT   12 _ZN18Achievement[...]
   284: 002bef5d    18 FUNC    GLOBAL DEFAULT   12 _ZN18Achievement[...]
